Ordre,Nom cançó,observacions
1,We Are the Champions,no bingo en blanc
2,La Cosa mas Dulce,no bingo en blanc
3,Nessun Dorma,no bingo en blanc
4,Como una Ola,no bingo en blanc
5,El Cano de Palamos,no bingo en blanc
6,Els Plens,no bingo en blanc
7,La Serotonina,no bingo en blanc
8,Borracha,no bingo en blanc
9,Mari Carmen,no bingo en blanc
10,Vestida de Nit,no bingo en blanc
11,Fum fum fum ,no bingo en blanc
12,Creep,no bingo en blanc
13,El Taxi,
14,Suavemente,
15,A Quien le Importa,
16,Waka Waka,
17,You're the One that I Want,
18,Dancing Queen,
19,Cannabis,
20,Single Ladies,
21,Viva la Vida,
22,Lady Marmalade,
23,It's Raining Men,
24,Chica Yeye,
25,Wannabe,
26,I'm an Albatraoz,
27,In the Night,
28,Ay Mama,
29,Soy Minero,
30,Mi Gran Noche,
31,Sarandonga,
32,Gitana Hechicera,
33,Maquillaje,
34,La Luna y el Toro,
35,Quince Años Tiene mi Amor,
36,Baile de los Pajaritos,
37,El Chacacha del Tren,
38,La Ventanita,
39,Despecha,
